('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         756048 function calls (735462 primitive calls) in 2.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
       68    0.000    0.000    0.001    0.000 status_codes.py:116(doc)
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
     6553    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3440    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
     5547    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      194    0.001    0.000    0.001    0.000 status_codes.py:117(<genexpr>)
      160    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
     4269    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
     1107    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
     2779    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
        2    0.000    0.000    0.001    0.000 connection.py:369(request)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3217    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     9221    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
        4    0.000    0.000    0.001    0.000 feedparser.py:171(feed)
       21    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
     2900    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      411    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:765(should_bypass_proxies)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
        2    0.000    0.000    0.000    0.000 utils.py:826(get_environ_proxies)
        1    0.000    0.000    0.000    0.000 sessions.py:302(rebuild_proxies)
     2779    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.000    0.000 utils.py:864(resolve_proxies)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     2666    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      349    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      335    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      142    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
     2469    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        6    0.000    0.000    0.000    0.000 feedparser.py:176(_call_parse)
        8    0.000    0.000    0.000    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.000    0.000 __init__.py:152(EntryPoint)
     2629    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
